会社名,コード,格付,格付2,クレジットウォッチ,DmySP,株価終値,売買単位,発行株式数,企業価値,営業純利益,減価償却費,減損損失,繰延法人税,負債合計,利子支払,税支払,営業活動からのキャッシュフロー,設備投資費用,売上総収益,期首資本,期末資本,総資産,純資産,新株予約権,自己資本,企業分類
三井不動産,8801,A,,ネガティブ,SP,2553,100,965481947,2.46488E+12,191820,98196,39648,0,5085981,27779,79755,187862,0,397915,2486525,2655991,7741972,2655991,1422,2555886,General
三菱地所,8802,AA,+,安定的,NonSP,1712,100,1391478706,2.38221E+12,201265,89107,4679,0,4011071,21602,57400,207414,315784,317764,1941206,2061447,6072519,2061447,231,1851900,General
三菱地所,8802,A,+,安定的,SP,1712,100,1391478706,2.38221E+12,201265,89107,4679,0,4011071,21602,57400,207414,315784,317764,1941206,2061447,6072519,2061447,231,1851900,General
平和不動産,8803,BBB,+,安定的,NonSP,3935,100,38859996,1.52914E+11,10216,5077,8,0,262713,1331,4006,8292,26894,15361,107302,118639,381353,118639,0,118639,General
ダイビル,8806,A,,安定的,J1,1395,100,115051049,1.60496E+11,12240,7249,0,0,226581,1116,3850,13659,5657,16266,157827,167346,393928,167346,0,165367,General
住友不動産,8830,AA,-,安定的,J1,3552,100,476085978,1.69106E+12,210359,57812,3876,0,4170645,18317,57029,225947,355431,287907,1294998,1503021,5673666,1503021,0,1503021,General
テーオーシー,8841,A,,安定的,NonSP,641,100,95279352,61074064632,6067,1962,0,0,18823,26,3510,3723,1757,7226,89395,93765,112589,93765,0,93114,General
東京楽天地,8842,BBB,+,安定的,NonSP,3965,100,6511218,25816979370,302,2399,55,0,10066,17,562,1645,854,974,31335,30537,40604,30537,0,30537,General
イオンモール,8905,BBB,,ネガティブ,SP,1662,100,227546939,3.78183E+11,4268,58586,7288,0,1006712,9762,11528,61621,57535,61761,404522,387486,1394199,387486,23,377320,General
イオンモール,8905,A,,安定的,NonSP,1662,100,227546939,3.78183E+11,4268,58586,7288,0,1006712,9762,11528,61621,57535,61761,404522,387486,1394199,387486,23,377320,General
東祥,8920,BBB,+,安定的,NonSP,1672,100,38315000,64062680000,474,2460,0,0,39652,143,2388,1448,3881,2879,37528,37448,77100,37448,0,34621,General
東武鉄道,9001,A,,安定的,NonSP,2836,100,209815421,5.95037E+11,22279,56664,6004,0,1229393,6300,9862,39504,0,99747,473969,453103,1682497,453103,0,444954,General
相鉄ホールディングス,9003,A,-,安定的,NonSP,2158,100,98145499,2.11798E+11,12057,20864,6604,0,480101,2819,6804,11837,53208,51890,152031,139309,619410,139309,0,139236,General
